Title,Discipline1,Discipline2,More
Journal of Chemical Technology and Biotechnology,Biotechnologia,Inżynieria chemiczna,Chemia;Inżynieria środowiska;Mikrobiologia
Journal of Chemical Theory and Computation,Chemia fizyczna,Fizyka molekularna,Fizyka chemiczna
Journal of Chromatographic Science,Chemia analityczna,Biochemia,
Journal of Chromatography. A,Biochemia,Chemia analityczna,
Journal of Chromatography. B,Biochemia,Chemia analityczna,
Journal of Civil Engineering and Architecture,Geografia,Architektura,Budownictwo;Inżynieria środowiska
Journal of Classical Sociology,Socjologia,,
Journal of Cleaner Production,Inżynieria środowiska,Nauki o środowisku,Ekologia
Journal of Climatology,Meteorologia,,
Journal of Cluster Science,Chemia nieorganiczna,Chemia jądrowa,
Journal of Colloid and Interface Science,Chemia fizyczna,,
Journal of Comparative Family Studies,Nauki o rodzinie,,
Journal of Comparative Physiology. A,Neuronauka,Behawioryzm,Fizjologia;Zoologia
Journal of Comparative Physiology. B,Fizjologia,Zoologia,
Journal of Competitiveness,Ekonomia,Nauki społeczne,Finanse
Journal of Complexity,Informatyka,Matematyka stosowana,
Journal of Computational and Applied Mathematics,Matematyka stosowana,,
Journal of Computational Biology,Biochemia,Statystyka i prawdopodobieństwo,Mikrobiologia;Matematka;Informatyka;Biotechnologia
Journal of Computational Chemistry,Chemia,,
Journal of Computational Methods in Sciences and Engineering,Elektronika,Matematyka,Informatyka;Fizyka;Chemia
Journal of Computational Physics,Informatyka,Fizyka matematyczna,
Journal of Computer and System Sciences,Informatyka,,
Journal of Coordination Chemistry,Chemia nieorganiczna,Chemia jądrowa,
Journal of Corporate Real Estate,Ekonomia,Finanse,Biznes
Journal of Cosmology and Astroparticle Physics,Astronomia,Astrofizyka,Fizyka
Journal of Crystal Growth,Fizyka stosowana,Krystalografia,Materiałoznawstwo
Journal of Crystallographic and Spectroscopic Research,Fizyka,,
Journal of Differential Equations,Matematyka,,
Journal of Discrete Algorithms,Matematyka,,
Journal of Drug Delivery Science and Technology,Farmacja,,
Journal of Dynamics and Differential Equations,Matematyka,Matematyka stosowana,
Journal of Education Culture and Society,Historia,Kulturoznawstwo,Pedagogika;Psychologia;Socjologia
Journal of Educational Review,Edukacja,,
Journal of Educational Sciences,Edukacja,,
Journal of Electroanalytical Chemistry,Chemia analityczna,Elektrochemia,
Journal of Electron Microscopy,Mikroskopia,,
Journal of Electron Spectroscopy and Related Phenomena,Spektroskopia,,
Journal of Environmental Accounting and Management,Ekologia,Ochrona środowiska,
Journal of Environmental Management,Nauki o środowisku,,
Journal of Environmental Policy and Planning,Nauki o środowisku,Urbanistyka,
Journal of Environmental Science and Health. Part A,Inżynieria środowiska,Nauki o środowisku,
Journal of Environmental Science and Health. Part B,Zdrowie i bezpieczeństwo publiczne,Nauki o środowisku,
Journal of Environmental Sciences (China),Nauki o środowisku,,
Journal of Ethnobiology,Biologia,,
Journal of Ethology,Zoologia,Behawioryzm,
Journal of European Tort Law,Prawo,,
Journal of Experimental Biology,Biologia,,
Journal of Experimental Botany,Botanika,,
Journal of Experimental Zoology. Part A Ecological Genetics and Physiology,Zoologia,,
Journal of Financial Crime,Ekonomia,Socjologia,Finanse;Organizacja i zarządzanie;Nauki polityczne
Journal of Fish Biology,Rybołóstwo,Hydrobiologia,
Journal of Fixed Point Theory and Applications,Matematyka,Matematyka stosowana,
Journal of Fixed Point Theory and Applications,Matematyka,Matematyka stosowana,
Journal of Fluorescence,Biochemia,Chemia analityczna,Chemia fizyczna
Journal of Fluorine Chemistry,Chemia nieorganiczna,Chemia organiczna,Chemia jądrowa
Journal of Food Composition and Analysis,Chemia stosowana,Technologia żywności i żywienia,
Journal of Food Engineering,Inżynieria chemiczna,Technologia żywności i żywienia,
Journal of Food Research,Technologia żywności i żywienia,,
Journal of Forensic Sciences,Medycyna,,
Journal of Functional Analysis,Matematyka,,
Journal of Gender Studies,Nauki społeczne,,
Journal of Gene Medicine,Biotechnologia,Mikrobiologia,Genetyka;Medycyna
Journal of Geometry and Physics,Matematyka,Fizyka matematyczna,
Journal of Geophysical Research,Nauka o Ziemi,,
Journal of Greco-Roman Studies,,,
Journal of Hazardous Materials,Inżynieria środowiska,Nauki o środowisku,Inżynieria
Journal of Health Sciences,Toksykologia,,
Journal of Heredity,Genetyka,Biologia ewolucyjna,
Journal of High Resolution Chromatography,Chemia analityczna,,
Journal of Hydrology,Hydrologia,Nauka o Ziemi,Inżynieria
Journal of Hydrology and Hydromechanics,Hydrologia,,
Journal of Identity and Migration Studies,Nauki społeczne,Socjologia,
Journal of Immunological Methods,Biochemia,Immunologia,
Journal of Inclusion Phenomena,Chemia,,
Journal of Inclusion Phenomena and Macrocyclic Chemistry,Chemia,,
Journal of Industrial & Engineering Chemistry,Chemia,Inżynieria chemiczna,
Journal of Industrial Microbiology & Biotechnology,Biotechnologia,Mikrobiologia,
Journal of Information Science,Informatyka,Systemy informacyjne,
Journal of Inorganic Biochemistry,Biochemia,Biologia molekularna,Chemia nieorganiczna;Chemia jądrowa
Journal of Insect Conservation,Entomologia,,
Journal of Insect Physiology,Entomologia,Fizjologia,
Journal of Integral Theory and Practice,Matematyka,Nauki społeczne,
Journal of Interdisciplinary Cycle Research,Biologia,,
Journal of International Humanitarian Legal Studies,Prawo,,
Journal of Internet Banking and Commerce,Bankowość,Finanse,
Journal of Invertebrate Pathology,Zoologia,,
Journal of Investigative Dermatology,Dermatologia,,
Journal of Islamic Academy of Sciences,Nauka,,
Journal of Juristic Papyrology,Historia i archiwistyka,Archeologia,Prawo
Journal of Knowledge Management,Bibliotekoznawstwo i informacja naukowa,Organizacja i zarządzanie,
Journal of Language and Cultural Education,Językoznawstwo,Literaturoznawstwo,Filologia;
Journal of Laser Micro Nanoengineering,Materiałoznawstwo,Optyka,Nanotechnologia;Fizyka stosowana;Optyka
Journal of Law and Social Sciences of the Faculty,Prawo,Nauki społeczne,
Journal of Limnology,Limnologia,,
Journal of Liquid Chromatography and Related Technologies,Biochemia,Chemia analityczna,
Journal of Lithic Studies,Archeologia,,
Journal of Luminescence,Optyka,,
Journal of Macromolecular Science. B,Polimery,,
Journal of Mammalogy,Zoologia,,
Journal of Marine Systems,Oceanografia,Hydrobiologia,Nauka o Ziemi
Journal of Materials,Materiałoznawstwo,,
Journal of Materials Chemistry. A,Chemia fizyczna,Energia i paliwa,Materiałoznawstwo
Journal of Materials Chemistry. C,Fizyka stosowana,Materiałoznawstwo,
Journal of Materials Research,Materiałoznawstwo,,
Journal of Materials Science,Materiałoznawstwo,,
Journal of Materials Science Letters,Materiałoznawstwo,,
Journal of Materials Science Materials in Medicine,Medycyna,Biomateriały,Materiałoznawstwo
Journal of Mathematical Analysis and Applications,Matematyka,Matematyka stosowana,
Journal of Mathematical Chemistry,Matematyka stosowana,Chemia,
Journal of Mathematical Physics,Fizyka matematyczna,,
Journal of Mathematical Sciences,Matematyka,Informatyka,
Journal of Mathematics of Kyoto University,Matematyka,,
Journal of Medical Entomology,Weterynaria,Entomologia,
Journal of Medical Informatics and Technologies,Informatyka,Medycyna,
Journal of Medicinal Chemistry,Chemia medyczna,,
Journal of Membrane and Separation Technology,Chemia,Technologia,
Journal of Membrane Science,Inżynieria chemiczna,Polimery,
"Journal of Microbiology, Immunology and Infection",Immunologia,Mikrobiologia,Choroby zakaźne
Journal of Microcolumn Separations,Chemia analityczna,,
Journal of Modern Dynamics,Matematyka,Matematyka stosowana,
Journal of Modern Optics,Optyka,,
Journal of Modern Science = Zeszyty,Pedagogika,Organizacja i zarządzanie,Administracja;Prawo;Zdrowie i bezpieczeństwo publiczne
Journal of Molecular Biology,Biochemia,Biologia molekularna,
Journal of Molecular Catalysis. A Chemical,Chemia fizyczna,,
Journal of Molecular Catalysis. B Enzymatic,Biochemia,Biologia molekularna,Chemia fizyczna
Journal of Molecular Liquids,Chemia fizyczna,Fizyka molekularna,Fizyka chemiczna
Journal of Molecular Modeling,Biochemia,Biologia molekularna,Biofizyka;Chemia;Informatyka
Journal of Molecular Spectroscopy,Fizyka chemiczna,Fizyka molekularna,Spektroskopia
Journal of Molecular Structure,Chemia fizyczna,,
Journal of Molecular Structure. Theochem,Chemia fizyczna,,
Journal of Molluscan Studies,Hydrobiologia,Zoologia,
Journal of Money Laundering Control,Socjologia,Ekonomia,Finanse;Organizacja i zarządzanie;Prawo
Journal of Multivariate Analysis,Statystyka i prawdopodobieństwo,,
Journal of Muscle Research and Cell Motility,Komórka biologiczna,,
Journal of Muslim Minority Affairs,Antropologia kulturowa,Nauki polityczne,Nauki społeczne;Religioznawstwo i teologia
Journal of Nanoscience and Nanotechnology,Chemia,Materiałoznawstwo,Nanotechnologia;Fizyka materii skondensowanej;Fizyka stosowana
Journal of Nanoscience Letters,Nanotechnologia,,
Journal of Natural History,Ekologia,Bioróżnorodność,
Journal of Network and Information Security,Informatyka,,
Journal of Neural Transmission,Neurologia kliniczna,Neuronauka,
Journal of Neurochemistry,Biochemia,Neuronauka,Biologia molekularna
Journal of Neurophysiology,Fizjologia,Neuronauka,
Journal of Non-Classical Logic,Matematyka,,
Journal of Non-Crystalline Solids,Materiałoznawstwo,,
Journal of Non-Equilibrium Thermodynamics,Mechanika,Termodynamika,
Journal of Nuclear Geophysics,Geofizyka,Geochemia,Górnictwo;Technika jądrowa
Journal of Number Theory,Matematyka,,
Journal of Optics. A - PURE AND APPLIED OPTICS,Optyka,,
Journal of Optoelectronics and Advanced Materials,Optyka,Fizyka stosowana,Materiałoznawstwo
Journal of Organic Chemistry,Chemia organiczna,,
Journal of Organometallic Chemistry,Chemia organiczna,Chemia nieorganiczna,Chemia jądrowa
Journal of Ornithology,Ornitologia,,
Journal of Pain and Symptom Management,Zdrowie i bezpieczeństwo publiczne,Medycyna,Neurologia kliniczna
Journal of Paleolimnology,Nauki o środowisku,Hydrologia,Nauka o Ziemi;Limnologia
Journal of Paleopathology,Patologia,Paleontologia,
Journal of Parallel and Distributed Computing,Informatyka,,
Journal of Parasitology,Parazytologia,,
Journal of Personality and Social Psychology,Psychologia społeczna,,
Journal of Pesticide Science,Entomologia,,
Journal of Petroleum & Environmental Biotechnology,Biotechnologia,Ochrona środowiska,
Journal of Pharmaceutical and Biomedical Analysis,Farmacja,Chemia analityczna,
Journal of Pharmacology and Experimental Therapeutics,Farmacja,,
Journal of Photochemistry and Photobiology. A Chemistry,Chemia fizyczna,,
Journal of Photochemistry and Photobiology. B Biology,Biochemia,Biologia molekularna,Biofizyka;
Journal of Physical and Chemical Reference Data,Chemia,Fizyka,Chemia fizyczna
Journal of Physical Chemistry,Chemia fizyczna,,
Journal of Physical Chemistry Letters,Chemia fizyczna,Materiałoznawstwo,Nanotechnologia;Fizyka molekularna;Fizyka chemiczna
Journal of Physical Chemistry. A,Chemia fizyczna,Fizyka molekularna,Fizyka chemiczna
Journal of Physical Chemistry. B,Chemia fizyczna,,
Journal of Physical Chemistry. C,Chemia fizyczna,Nanotechnologia,Materiałoznawstwo
Journal of Physics and Chemistry of Solids,Chemia,Fizyka materii skondensowanej,
Journal of Physics. A,Fizyka matematyczna,Fizyka,
Journal of Physics. B,Fizyka molekularna,Optyka,Fizyka chemiczna
Journal of Physics. Condensed Matter,Fizyka materii skondensowanej,,
Journal of Physics. Conference Series,Fizyka,,
Journal of Physics. D,Fizyka stosowana,,
Journal of Phytopathology,Botanika,,
Journal of Planar Chromatography,Chemia analityczna,,
Journal of Plant Diseases and Protection,Rolnictwo,Botanika,
Journal of Plant Ecology,Botanika,Ekologia,
Journal of Plant Growth Regulation,Botanika,,
Journal of Plant Nutrition and Soil Science,Rolnictwo,Gleboznawstwo,Botanika
Journal of Plant Physiology,Botanika,,
Journal of Polymer Engineering,Polimery,,
Journal of Polymer Research,Polimery,,
Journal of Polymer Science. A Polymer chemistry,Polimery,,
Journal of Polymer Science. B Polymer physics,Polimery,,
Journal of Porous Materials,Chemia stosowana,Materiałoznawstwo,Chemia fizyczna
Journal of Professional Negligence,Prawo,,
Journal of Pure and Applied Algebra,Matematyka,Matematyka stosowana,
Journal of Quantitative Spectroscopy and Radiative,Spektroskopia,Optyka,
Journal of Quaternary Science,Geografia fizyczna,Nauka o Ziemi,
Journal of Radioanalytical and Nuclear Chemistry,Chemia analityczna,Chemia nieorganiczna,Technika jądrowa;Chemia jądrowa
Journal of Raman Spectroscopy,Spektroskopia,,
Journal of Rare Earths,Chemia stosowana,,
Journal of Reviews on Global Economics,Ekonomia,,
Journal of Rural Cooperation,Rolnictwo,,
Journal of Russian Laser Research,Optyka,,
Journal of Separation Science,Chemia analityczna,,
Journal of Settlements and Spatial Planning,Geografia,Nauki społeczne,
Journal of Signal Processing Systems,Informatyka,Elektronika,Elektrotechnika
Journal of Sleep Research,Neurologia,Neuronauka,
Journal of Soils and Sediments,Nauki o środowisku,Gleboznawstwo,
Journal of Solid State Chemistry,Chemia nieorganiczna,Chemia fizyczna,Chemia jądrowa
Journal of Solid State Electrochemistry,Elektrochemia,,
Journal of Solution Chemistry,Chemia fizyczna,,
Journal of Spectroscopy,Spektroskopia,,
Journal of Statistical Computation and Simulation,Informatyka,Statystyka i prawdopodobieństwo,
Journal of Statistical Physics,Fizyka matematyczna,,
Journal of Statistical Planning and Inference,Statystyka i prawdopodobieństwo,,
Journal of Statistical Software,Informatyka,Statystyka i prawdopodobieństwo,
Journal of Steroid Biochemistry and Molecular Biology,Biochemia,Biologia,Endokrynologia;
Journal of Surgical Research,Chirurgia,,
Journal of Symbolic Logic,Matematyka,Logika,
Journal of the American Chemical Society,Chemia,,
Journal of the American Leather Chemists Association,Chemia,Materiałoznawstwo,
Journal of the American Oil Chemists' Society,Chemia,Technologia żywności i żywienia,
Journal of the Anthropological Society of Oxford,Antropologia kulturowa,,
Journal of the Chemical Society. Dalton Transactions,Chemia,,
Journal of the Chemical Society. Faraday,Chemia,,
Journal of the Chemical Society. Faraday Transactions,Chemia,Fizyka,
Journal of the Chemical Society. Perkin Transactions 2,Chemia,,
Journal of the Chinese Chemical Society,Chemia,,
Journal of the Electrochemical Society,Chemia,,
Journal of the European Higher Education Area,Nauka,Edukacja,
Journal of the Faculty of Science Shinshu University,Nauka,,
Journal of the Franklin Institute,Automatyka,Inżynieria,Elektrotechnika;Matematyka
Journal of the International Neuropsychological Society,Neurologia,Neuronauka,Psychologia;Psychiatria
Journal of the Korean Astronomical Society,Astronomia,,
Journal of the London Mathematical Society. Second Series,Matematyka,,
Journal of the Mathematical Society of Japan,Matematyka,,
Journal of the Optical Society of America. B,Fizyka,Optyka,
Journal of the Professional Association for Cactus Development,Ogrodnictwo i sadownictwo,,
Journal of the Royal Astronomical Society of Canada,Astronomia,,
Journal of the Science of Food and Agriculture,Rolnictwo,Technologia żywności i żywienia,Chemia
Journal of the Serbian Chemical Society,Chemia,,
Journal of the Short Story in English,Językoznawstwo,Literaturoznawstwo,
Journal of Theoretical Biology,Biologia,Matematyka,
Journal of Theoretical Probability,Statystyka i prawdopodobieństwo,,
Journal of Thermal Analysis and Calorimetry,Chemia analityczna,Chemia fizyczna,Termodynamika
Journal of Thermal Analysis: an international review of thermal investigations ,Chemia analityczna,,
Journal of Thermal Biology,Biologia,Zoologia,
Journal of Tissue Engineering and Regenerative Medicine,Biotechnologia,Mikrobiologia,Komórka biologiczna;Inżynieria biomedyczna
Journal of Tourism Challenges and Trends,Turystyka,,
Journal of Toxicology,Toksykologia,,
Journal of Toxicology and Environmental Health. Part A,Zdrowie i bezpieczeństwo publiczne,Toksykologia,Nauki o środowisku
Journal of Trace Elements in Medicine and Biology,Biologia molekularna,Biochemia,Endokrynologia;
Journal of US-China Public Administration,Nauki polityczne,,
Journal of Vacuum Science and Technology. A,Fizyka stosowana,Materiałoznawstwo,
Journal of Vegetation Science,Botanika,Ekologia,Leśnictwo
