Title1,Title2,DisciplinesString
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,Design Automation for Embedded Systems,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;informatyka"
DESIGN ISSUES,Design Issues,historia;nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka;inżynieria mechaniczna;nauki socjologiczne
Design Journal,Design Journal,historia;nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka;inżynieria mechaniczna;nauki socjologiczne
Design Science,,inżynieria mechaniczna;inżynieria mechaniczna
DESIGN STUDIES,Design Studies,historia;nauki o kulturze i religii;architektura i urbanistyka;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;nauki leśne;nauki socjologiczne
DESIGNED MONOMERS AND POLYMERS,Designed Monomers and Polymers,"inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki chemiczne"
deSignis,,językoznawstwo;językoznawstwo
DESIGNS CODES AND CRYPTOGRAPHY,"Designs, Codes, and Cryptography",informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka;matematyka
Deturope-The Central European journal of Regional Development and Tourism,DETUROPE,nauki o kulturze i religii;architektura i urbanistyka;nauki o zarządzaniu i jakości
DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT,Deutsche Entomologische Zeitschrift,nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne
DEUTSCHE LEBENSMITTEL-RUNDSCHAU,Deutsche Lebensmittel-Rundschau,inżynieria materiałowa;nauki farmaceutyczne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;nauki prawne
DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT,Deutsche Medizinische Wochenschrift,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
DEUTSCHE SPRACHE,Deutsche Sprache,językoznawstwo;językoznawstwo
DEUTSCHE VIERTELJAHRSSCHRIFT FUR LITERATURWISSENSCHAFT UND GEISTESGESCHICHTE,Deutsche Vierteljahrsschrift fur Literaturwissenschaft und Geistesgeschichte,filozofia;literaturoznawstwo
Deutsche Zeitschrift fur Akupunktur,,nauki medyczne;nauki o zdrowiu
DEUTSCHE ZEITSCHRIFT FUR PHILOSOPHIE,Deutsche Zeitschrift fur Philosophie,filozofia;literaturoznawstwo
Deutsches Arzteblatt International,Deutsches Ärzteblatt international,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
DEVELOPING ECONOMIES,Developing Economies,architektura i urbanistyka;ekonomia i finanse;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości
Developing World Bioethics,Developing World Bioethics,filozofia;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
DEVELOPMENT,Development (Cambridge),inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;weterynaria;zootechnika i rybactwo;nauki biologiczne
DEVELOPMENT AND CHANGE,Development and Change,architektura i urbanistyka;ekonomia i finanse;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości;nauki socjologiczne
DEVELOPMENT AND PSYCHOPATHOLOGY,Development and Psychopathology,nauki medyczne;nauki o zdrowiu;psychologia
DEVELOPMENT GENES AND EVOLUTION,Development Genes and Evolution,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;zootechnika i rybactwo;nauki biologiczne
DEVELOPMENT GROWTH & DIFFERENTIATION,Development Growth and Differentiation,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne
Development in Practice,Development in Practice,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki o zarządzaniu i jakości;nauki socjologiczne"
Development Policy Review,Development Policy Review,architektura i urbanistyka;ekonomia i finanse;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości;nauki socjologiczne
Development Southern Africa,Development Southern Africa,nauki o kulturze i religii;architektura i urbanistyka
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,Developmental and Comparative Immunology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;zootechnika i rybactwo;nauki biologiczne
DEVELOPMENTAL BIOLOGY,Developmental Biology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki leśne;rolnictwo i ogrodnictwo;weterynaria;zootechnika i rybactwo;nauki biologiczne
DEVELOPMENTAL CELL,Developmental Cell,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne;nauki chemiczne
Developmental Cognitive Neuroscience,Developmental Cognitive Neuroscience,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;psychologia;nauki biologiczne
DEVELOPMENTAL DYNAMICS,Developmental Dynamics,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,Developmental Medicine and Child Neurology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
Developmental Neurobiology,Developmental Neurobiology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
DEVELOPMENTAL NEUROPSYCHOLOGY,Developmental Neuropsychology,psychologia;nauki biologiczne
Developmental Neurorehabilitation,Developmental Neurorehabilitation,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;nauki biologiczne
DEVELOPMENTAL NEUROSCIENCE,Developmental Neuroscience,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
DEVELOPMENTAL PSYCHOBIOLOGY,Developmental Psychobiology,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;psychologia;nauki biologiczne
DEVELOPMENTAL PSYCHOLOGY,Developmental Psychology,historia;nauki o zdrowiu;psychologia
DEVELOPMENTAL REVIEW,Developmental Review,architektura i urbanistyka;nauki medyczne;nauki o zdrowiu;nauki socjologiczne;psychologia
DEVELOPMENTAL SCIENCE,Developmental Science,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;psychologia;nauki biologiczne
Developpement Durable & Territoires,,architektura i urbanistyka;geografia społeczno-ekonomiczna i gospodarka przestrzenna
Deviance et Societe,,nauki prawne;nauki socjologiczne
DEVIANT BEHAVIOR,Deviant Behavior,nauki prawne;nauki socjologiczne;psychologia
Devices and Methods of Measurements,,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki fizyczne"
DIABETES,Diabetes,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;nauki biologiczne
Diabetes & Metabolic Syndrome-Clinical Research & Reviews,Diabetes and Metabolic Syndrome: Clinical Research and Reviews,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;technologia żywności i żywienia
DIABETES & METABOLISM,Diabetes and Metabolism,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;technologia żywności i żywienia;nauki biologiczne
Diabetes & Metabolism Journal,Diabetes and Metabolism Journal,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
Diabetes & Vascular Disease Research,Diabetes and Vascular Disease Research,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;nauki biologiczne
DIABETES CARE,Diabetes Care,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;nauki biologiczne
DIABETES EDUCATOR,Diabetes Educator,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Diabetes Mellitus,Diabetes Mellitus,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
Diabetes Metabolic Syndrome and Obesity-Targets and Therapy,"Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy",inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
DIABETES OBESITY & METABOLISM,"Diabetes, Obesity and Metabolism",inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
DIABETES RESEARCH AND CLINICAL PRACTICE,Diabetes Research and Clinical Practice,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;technologia żywności i żywienia;nauki biologiczne
Diabetes Stoffwechsel und Herz,,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
Diabetes Technology & Therapeutics,Diabetes Technology and Therapeutics,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
Diabetes Therapy,Diabetes Therapy,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
DIABETES-METABOLISM RESEARCH AND REVIEWS,Diabetes/Metabolism Research and Reviews,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;technologia żywności i żywienia;nauki biologiczne
Diabetic Foot & Ankle,Diabetic Foot and Ankle,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
DIABETIC MEDICINE,Diabetic Medicine,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;nauki biologiczne
Diabetologe,Diabetologe,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
DIABETOLOGIA,Diabetologia,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
Diabetologie und Stoffwechsel,Diabetologie und Stoffwechsel,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;nauki biologiczne
Diabetology & Metabolic Syndrome,Diabetology and Metabolic Syndrome,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;nauki biologiczne
Diabetology International,Diabetology International,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;nauki biologiczne
Diachronica,Diachronica,językoznawstwo;językoznawstwo
DIACRITICS-A REVIEW OF CONTEMPORARY CRITICISM,Diacritics,literaturoznawstwo;literaturoznawstwo
Diagnosis,Diagnosis,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Diagnostic and Interventional Imaging,Diagnostic and interventional imaging,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Diagnostic and Interventional Radiology,Diagnostic and Interventional Radiology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
DIAGNOSTIC CYTOPATHOLOGY,Diagnostic Cytopathology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,Diagnostic Microbiology and Infectious Disease,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki leśne;weterynaria;nauki biologiczne;nauki chemiczne
Diagnostic Pathology,Diagnostic Pathology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
DIAGNOSTICA,Diagnostica,nauki farmaceutyczne;weterynaria;psychologia
Diagnostics,Diagnostics,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
DIALECTICA,Dialectica,filozofia;filozofia
DIALECTICAL ANTHROPOLOGY,Dialectical Anthropology,historia;nauki o kulturze i religii;nauki socjologiczne
Dialectologia,Dialectologia,językoznawstwo;językoznawstwo
Dialectologia et Geolinguistica,Dialectologia et Geolinguistica,językoznawstwo;językoznawstwo
Dialog so Vremenem-Dialogue with Time,Dialog so Vremenem,filozofia;historia
Dialog-A Journal of Theology,Dialog,nauki teologiczne;nauki teologiczne
Dialogia,,nauki socjologiczne;pedagogika
Dialogic Pedagogy,Dialogic Pedagogy,językoznawstwo;pedagogika
Dialogica,,literaturoznawstwo;literaturoznawstwo
Dialogo,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
Dialogo das Letras,,językoznawstwo;literaturoznawstwo
DIALOGUE-CANADIAN PHILOSOPHICAL REVIEW,Dialogue,filozofia;filozofia
Dialogues in Clinical Neuroscience,Dialogues in Clinical Neuroscience,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
Dialogues in Human Geography,Dialogues in Human Geography,architektura i urbanistyka;geografia społeczno-ekonomiczna i gospodarka przestrzenna
Dialogues in Philosophy Mental and Neuro Sciences,,filozofia;filozofia
Diametros,Diametros,filozofia;filozofia
DIAMOND AND RELATED MATERIALS,Diamond and Related Materials,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;nauki chemiczne;nauki fizyczne"
Diasporas-Histoire et Societes,Diasporas,historia;nauki o kulturze i religii;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o polityce i administracji;nauki socjologiczne
DIATOM RESEARCH,Diatom Research,inżynieria materiałowa;nauki biologiczne
Dicenda-Cuadernos de Filologia Hispanica,,literaturoznawstwo;literaturoznawstwo
DICKENS QUARTERLY,Dickens Quarterly,literaturoznawstwo;literaturoznawstwo
DICKENSIAN,Dickensian,literaturoznawstwo;literaturoznawstwo
Didactica de las Ciencias Experimentales y Sociales,,architektura i urbanistyka;nauki socjologiczne
Didactica-Lengua y Literatura,,językoznawstwo;literaturoznawstwo
Differences-A Journal of Feminist Cultural Studies,Differences,nauki o kulturze i religii;nauki o zdrowiu;nauki socjologiczne
Differential and Integral Equations,Differential and Integral Equations,matematyka;matematyka
DIFFERENTIAL EQUATIONS,Differential Equations,matematyka;matematyka
Differential Equations & Applications,,inżynieria mechaniczna;matematyka
Differential Equations and Dynamical Systems,Differential Equations and Dynamical Systems,"automatyka, elektronika i elektrotechnika;informatyka;matematyka"
DIFFERENTIAL GEOMETRY AND ITS APPLICATIONS,Differential Geometry and its Application,"automatyka, elektronika i elektrotechnika;matematyka"
DIFFERENTIATION,Differentiation; Research in Biological Diversity,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki leśne;rolnictwo i ogrodnictwo;zootechnika i rybactwo;nauki biologiczne
Digest Journal of Nanomaterials and Biostructures,Digest Journal of Nanomaterials and Biostructures,"inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;nauki biologiczne;nauki chemiczne;nauki fizyczne"
Digest of Middle East Studies,Domes : digest of Middle East studies,historia;nauki o kulturze i religii;nauki o polityce i administracji;nauki prawne
DIGESTION,Digestion,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
DIGESTIVE AND LIVER DISEASE,Digestive and Liver Disease,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
DIGESTIVE DISEASES,Digestive Diseases,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
DIGESTIVE DISEASES AND SCIENCES,Digestive Diseases and Sciences,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne
Digestive Endoscopy,Digestive Endoscopy,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria
DIGESTIVE SURGERY,Digestive Surgery,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria
Digital Communications and Networks,Digital Communications and Networks,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;nauki o komunikacji społecznej i mediach;informatyka"
DIGITAL CREATIVITY,Digital Creativity,nauki o kulturze i religii;architektura i urbanistyka;inżynieria biomedyczna;informatyka
Digital Education Review,Digital Education Review,architektura i urbanistyka;inżynieria biomedyczna;pedagogika
Digital Health,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
Digital Humanities Quarterly,Digital Humanities Quarterly,historia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii;architektura i urbanistyka;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości;nauki socjologiczne;informatyka
Digital Investigation,Digital Investigation,architektura i urbanistyka;inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki o zarządzaniu i jakości;nauki prawne;informatyka
Digital Journalism,Digital Journalism,nauki o kulturze i religii;nauki o kulturze i religii
Digital Library Perspectives,Digital Library Perspectives,nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości;informatyka
Digital Policy Regulation and Governance,"Digital Policy, Regulation and Governance",inżynieria biomedyczna;nauki o zarządzaniu i jakości
Digital Scholarship in the Humanities,Digital Scholarship in the Humanities,historia;językoznawstwo;nauki o kulturze i religii;nauki o zarządzaniu i jakości;nauki socjologiczne;informatyka
DIGITAL SIGNAL PROCESSING,Digital Signal Processing: A Review Journal,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;informatyka"
digitAR-Revista Digital de Arqueologia Arquitectura e Artes-Digital Journal of Archaeology Architecture and Arts,,historia;nauki o sztuce;architektura i urbanistyka
Digithum,Digithum,historia;nauki o kulturze i religii;architektura i urbanistyka;nauki o zdrowiu;nauki o zarządzaniu i jakości
Dilemas Contemporaneos-Educacion Politica y Valores,,nauki socjologiczne;pedagogika
